title,release_year,genre,vote_average,popularity,vote_count,original_language,cluster
Occupation,2018,"Action, Science Fiction, Drama",4.4,15.748,146,en,2
Honey,2003,"Music, Drama, Romance, Family",6.3,15.748,982,en,6
Swiss Family Robinson,1960,"Adventure, Family",6.9,15.746,245,en,0
The Cabbage Soup,1981,"Comedy, Science Fiction",6.4,15.746,682,fr,3
Women in Fury,1984,"Action, Drama",3.9,15.745,13,it,1
LEGO Scooby-Doo! Blowout Beach Bash,2017,"Animation, Comedy, Family, Mystery",7.4,15.742,136,en,0
August: Osage County,2013,"Comedy, Drama",6.9,15.74,1198,en,3
Krull,1983,"Action, Adventure, Fantasy, Science Fiction",6.0,15.74,380,en,11
A Fortunate Man,2018,Drama,6.8,15.739,112,da,6
Be Somebody,2016,"Drama, Comedy, Romance",6.6,15.737,239,en,9
3 from Hell,2019,Horror,5.8,15.735,295,en,5
What Doesn't Kill You,2008,"Action, Crime, Drama",6.1,15.734,129,en,1
The Room,2003,"Drama, Romance",4.1,15.731,1108,en,6
Aftershock,2012,"Horror, Thriller",5.1,15.729,248,es,7
According to Greta,2009,"Drama, Romance",6.1,15.729,166,en,6
